Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Tot Cases/1M Pop,Deaths/1M Pop,Total Tests,Tests/1M Pop,Population
Sri Lanka,"9,791",19,"4,142","5,630",457,0.9,"480,838","22,424",21442920
Haiti,"9,057",232,"7,429","1,396",791,20,"32,176","2,811",11448000
Gabon,"8,957",55,"8,619",283,"3,994",25,"234,341","104,493",2242649
Jamaica,"8,927",202,"4,429","4,296","3,010",68,"94,441","31,847",2965437
Cabo Verde,"8,603",95,"7,796",712,"15,419",170,"87,480","156,784",557966
Zimbabwe,"8,349",242,"7,864",243,559,16,"163,656","10,959",14933481
Mauritania,"7,700",163,"7,416",121,"1,642",35,"87,246","18,607",4688873
Guadeloupe,"7,605",126,"2,242","5,237","19,006",315,"67,445","168,551",400147
French Polynesia,"7,262",29,"4,842","2,391","25,803",103,"26,355","93,642",281444
Cuba,"6,766",128,"6,132",506,597,11,"824,042","72,767",11324318
Botswana,"6,642",24,"4,676","1,942","2,806",10,"299,546","126,551",2366993
Bahamas,"6,607",138,"4,257","2,212","16,749",350,"35,181","89,184",394477
Malawi,"5,916",184,"5,303",429,307,10,"60,907","3,158",19288664
Eswatini,"5,899",117,"5,542",240,"5,067",101,"46,202","39,689",1164103
Malta,"5,866",59,"3,880","1,927","13,274",134,"329,546","745,694",441932
Trinidad and Tobago,"5,636",107,"4,293","1,236","4,023",76,"32,861","23,456",1400987
Syria,"5,633",281,"1,898","3,454",319,16,,,17637454
Djibouti,"5,558",61,"5,431",66,"5,599",61,"84,842","85,467",992685
Nicaragua,"5,514",156,"4,225","1,133",829,23,,,6650347
Réunion,"5,472",22,"4,630",820,"6,098",25,"35,419","39,468",897416
Latvia,"5,395",64,"1,406","3,925","2,871",34,"442,445","235,445",1879183
Hong Kong,"5,314",105,"5,073",136,707,14,"3,707,664","493,238",7516983
Congo,"5,290",92,"3,887","1,311",951,17,,,5561771
Suriname,"5,197",111,"5,053",33,"8,833",189,"18,741","31,853",588359
Rwanda,"5,131",35,"4,851",245,393,3,"553,876","42,425",13055457
Equatorial Guinea,"5,083",83,"4,964",36,"3,586",59,"65,408","46,139",1417635
CAR,"4,863",62,"1,924","2,877","1,001",13,"32,711","6,735",4857047
Estonia,"4,771",73,"3,747",951,"3,596",55,"259,758","195,773",1326831
Iceland,"4,719",13,"3,701","1,005","13,799",38,"348,202","1,018,215",341973
Andorra,"4,567",73,"3,260","1,234","59,077",944,"146,308","1,892,583",77306
Aruba,"4,472",37,"4,286",149,"41,827",346,"39,106","365,764",106916
Mayotte,"4,366",44,"2,964","1,358","15,880",160,"13,000","47,284",274934
Guyana,"4,098",123,"3,154",821,"5,202",156,"19,009","24,129",787805
Cyprus,"4,051",25,"1,882","2,144","3,347",21,"471,104","389,261",1210252
Somalia,"3,941",104,"3,185",652,246,6,,,16035169
Thailand,"3,775",59,"3,585",131,54,0.8,"977,854","13,998",69857979
Gambia,"3,666",119,"2,666",881,"1,503",49,"20,561","8,432",2438396
Martinique,"3,552",30,98,"3,424","9,468",80,"50,071","133,463",375168
Mali,"3,537",136,"2,686",715,173,7,"73,365","3,590",20437315
Belize,"3,382",56,"2,127","1,199","8,456",140,"22,406","56,019",399971
Uruguay,"3,044",57,"2,504",483,875,16,"314,820","90,525",3477712
South Sudan,"2,903",58,"1,290","1,555",258,5,"12,044","1,072",11236682
Benin,"2,643",41,"2,330",272,216,3,"238,105","19,477",12225101
